Title,Company,Location,Rating,Date,Salary,Description,Links,Descriptions
Data Scientist,ConnectiveRx,"Pittsburgh, PA 15275",NaN,PostedPosted 5 days ago,NaN,"Candidates must be able to demonstrate aptitude working with structured and unstructured data sets, managing data quality, and developing meaningful insights…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxvRf9S6kJILR8ydrgGJzoKsRVugCIPE-oCvcb58knkroTfNi9RrXsU0FhPMVHSsDFY8lmgzXUrgbitLuwOxegaKwPP7-4xF8n4vkjwqWDOhV9I7Bt4ECUQNkcAFNPBEswPqrjcDXctFTSYDIIaHS8e7gwUQl1QbMTzXN7duKuU9vC2hutDabfuQxCixlQsRPSovfsxalUS_TITYYJIOsPz27NkfUd6BrTr69AuMRwZqmdy-3ea8zLYYfFqKBWO5gYEV9PThZNn30rvmmy8IHG4KgSm9Erabd5tkbWWJQMKH69iWX0ysG58B1KRvhiQa2kDNUaAXviKX0uW2x3Qg3tOgfXLzz4PLWEu1G2Rp-GMPbM5cJrCFDzMP2yMPhj7s8_0ZSAYJISGi3E4-Of-YxltNwyXfWcdZuBWzy-ciyRhn0zpYFMqoIf4FX2kAoMg9cBZwjpFCtFIxSe4damO7yOAyo0hBfIbYLOxkloJXnRxA1IZt5MqybX__4n41nPZWeN8fNXsB32YzVYsUkQesA_21ce0oRAPFDH8IrbvNQ0CkSX-H3rPGh_haSxL0OsW10U9x2BmayKG7E2ydm2Gnc7GJFe_Izqev_b29_p-WLWGBe0B4-NxywZqvXuIk1iIlJtdVPzGB4vMNEjLk2dqlXraPrWOqLSEfPqORcH2FkFwJQm8ufZocB-m0ql2bJpAtxLBSYhm9QMIaPgTGQz5MCBf0hZkYmJBUk=&xkcb=SoCn6_M3HhRtItw3lR0LbzkdCdPP&p=0&fvj=0&vjs=3,"ConnectiveRx is a leading, technology-enabled healthcare services company. We work strategically with hundreds of biopharmaceutical manufacturers to help commercialize and maximize the benefits of specialty and branded medications. Our mission is to simplify how patients get on and stay on therapy. We fulfill our mission by providing our customers with innovative services such as patient and provider messaging, the design and operation of copay, vouchers and patient affordability programs, and hub services, all of which accelerate speed-to-therapy and help improve outcomes for manufacturers, healthcare providers and patients.

ConnectiveRx was formed in 2015 by bringing together the industry-leading business of PSKW, PDR/LDM, Careform (2017) and The Macaluso Group (2018) to advance our technology-driven expertise in providing state-of-the-art commercialization solutions. To learn more about our company, visit ConnectiveRx.com

Job Description

As a data scientist at ConnectiveRx you will have the opportunity to join a team of innovative data professionals who help patients obtain life-saving medications. We are a healthcare technology company that provides analytics-enabled solutions to branded and specialty pharmaceutical manufacturers. We accelerate speed-to-therapy and improve patient adherence by helping doctors and pharmacists become aware of medications and reducing barriers for patient care by providing educational messaging, financial assistance and concierge support with their prescriptions.

Ideal candidates will be passionate about data, comfortable with ambiguity, and excited to roll up their sleeves to explore and model our wide-reaching data sets. We are looking for creative and strategic individuals who can partner across business units to solve complex problems and develop market-leading products. Candidates must be able to demonstrate aptitude working with structured and unstructured data sets, managing data quality, and developing meaningful insights from seemingly disparate data sets.

What you will do:
Wrangle, manipulate, combine, and refine large datasets to produce information suitable for advanced analytics.
Work cross-functionally with clients and internal partners to translate business questions into analytical solutions.
Use traditional (descriptive) and advanced statistical methodologies (regression, classification, clustering, NLP, etc.) to deliver innovative products and services.
Assist in developing ConnectiveRx’s evolving data innovation strategy.
Research and evaluate syndicated data sources that could improve our product and service offerings.
Establish scalable, efficient, and automated processes for large scale data analyses and model development.
Proactively monitor and analyze complex systems to understand, diagnose, and improve key performance indicators.
Translate complex business questions into strategic solutions for clients and internal partners.
Communicate actionable insights to technical and non-technical audiences both internally and externally.
Assist with development and implementation of an enterprise data platform.
What we will need from you:
Bachelor’s Degree or higher preferably in STEM related field.
3 or more years of experience in an analytics related field.
Expert SQL programming skills.
Statistical programming experience (Python, SAS, etc.).
Machine learning experience.
Data visualization and BI tool experience preferred (Looker, Power BI, Tableau, etc.).
Cloud platform experience preferred (AWS, Azure, etc.)
Experience in healthcare or life-sciences field preferred.
Why work with us?
Excellent company culture, fun events, and volunteer opportunities
Competitive benefits (medical, dental, vision & more)
401k package with dollar-for-dollar match-up
Generous PTO and paid holidays days offered
Opportunities to grow professionally and personally
Team-oriented atmosphere
Office snacks!!
#LI-BJ1

Equal Opportunity Employer: This employer (hereafter the Company) is an equal opportunity employer and does not discriminate in recruitment, hiring, training, promotion, or other employment policies on the basis of age, race, sex, color, religion, national origin, disability, veteran status, genetic information, or any other basis that is prohibited by federal, state, or local law. No question in this application is intended to secure information to be used for such discrimination. In addition, the Company makes reasonable accommodation to the needs of disabled applicants and employees, so long as this does not create an undue hardship on the Company or threaten the health or safety of others at work. This application will be given every consideration, but its receipt does not imply that the applicant will be employed."
Data Scientist,OpenRoad Lending,"Fort Worth, TX 76137 (Far North area)",NaN,EmployerActive 7 days ago,"$80,000 - $180,000 a year",Excellent communication skills and the ability to translate complex data into actionable insights for non-technical stakeholders.,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRvV4Ay1NYFSbqJrZaoTNwfEmhFCRdi_HzB-JHpO1KI3d61S5El0ImWTCDJCMPc5UmVuWWES8KvWRXYwIOhMsfrjJdMicXs00PnzYS2HbofI5exfxxzq60sMsDgqt8gGKRqLNWfWpa7cPbpGHVFyO_220Qv4NygRNGr6YJRgRTadRZKdnU7bNP7nATHgjpgj06u-EDevoATXM-8c9NBK4MGho1EYYR25SkIG18QGrdpX54VNlcU_9xVdULhoi1128KnFHnZNV3TiQluzlBSTgvMJj--D7Eo2TKsUALW2EwKBpNulnuxVANSs3X_O_ajdQMrHy8678YaSQVQACfU5Kux40evYG4o6E7LVjwB_mopt4KHTconfd2NMhhCxnrG_a_1wFmRwPmwLa1JYvqGMWWwpBE_LzfM97kbQd0iZpbiPxvB1ooCGFz0pu9eKi3F_JNHgt3GZpYwhFeEkm0X4s_BlWYlRBDqFWcIc4imZKvkuQZwklEjPKdwkhnV-IIfm4-LU_v8fNBV8EYnftKGrWh7iqOJOyvdZ7VGNws_pONjjJzB6POAqy1RXlarRkbiqgZuI32MC5Y7RMrcNTHwohlZxxyjafnDhCjxX3wZP-q9A==&xkcb=SoAT6_M3HhRtItw3lR0KbzkdCdPP&p=1&fvj=1&vjs=3,"OpenRoad Lending is a leading provider of auto loan refinancing. Headquartered in Ft. Worth Texas, we source customers through our own organic channels and work with aggregators to present refinancing offers to potential customers, and then we partner with them to finalize the loans.
Key Responsibilities:
Development, maintenance and performance tracking for ML models including: Direct Mail Response and Conversion models, and Credit approval and Pricing models for certain sources.
Leverage internal data to yield actionable process improvements and efficiencies.
Provide sound analytics to support senior management decision-making.
Work closely with functional and senior management to crystalize business needs and develop actionable solutions.
Qualifications:
Experience in consumer credit is required, with experience in auto lending a strong plus.
3+ years in relevant model development.
Bachelor's or Master's degree in Data Science, Statistics or related field.
Excellent communication skills and the ability to translate complex data into actionable insights for non-technical stakeholders.
Strong problem-solving skills and the ability to think critically
Consumer Lending/Auto Finance or Refinance Experience REQUIRED.
Technical Experience:
Python: 3 years (Required)
SQL: 3 years (Required)
Microsoft Excel: 3 years (Required)
Job Type: Full-time
Pay: $80,000.00 - $180,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Tuition reimbursement
Vision insurance
Experience level:
3 years
Schedule:
8 hour shift
Ability to commute/relocate:
Fort Worth, TX 76137: Reliably commute or planning to relocate before starting work (Required)
Experience:
Consumer Loan or Refinance: 3 years (Preferred)
SQL: 3 years (Required)
Python: 3 years (Required)
Work Location: In person"
Data Scientist (L5) - Member Product,Netflix,Remote,NaN,PostedPosted 8 days ago,NaN,"You’ll work with other data scientists, data and analytics engineers, and business teams to drive product vision and advance measurement strategy through new…",https://www.indeed.com/rc/clk?jk=9776597e1463ca90&bb=8Vfogb834aSop1ThRJTNyfonbI0teK8Is-fsj-zNqGYcd-S14bIrs5S7ZNsyfFI0&xkcb=SoB867M3HhRtILQ3tZ0KbzkdCdPP&fccid=66403b30a2c0d89c&vjs=3,"Remote, United States
Data Science and Engineering
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere. Within Product, we have a very high velocity in innovations in the member experience. We never stop challenging ourselves and are constantly thinking about connecting with our members in new ways or even in new domains!

Member Product DSE is at the forefront of these innovations with a mission to relentlessly improve Netflix member experience within our streaming and new verticals services across TV, Mobile & Web by surfacing insights. The team collaborates extensively with Product and Engineering teams to identify, incubate and enable product innovations leveraging robust measurement techniques (analytics, experimentation, modeling) and scalable tooling.

As a Data Scientist, you’ll be at the forefront of product innovation. You’ll work with other data scientists, data and analytics engineers, and business teams to drive product vision and advance measurement strategy through new metrics, methodological approaches, and deep dive analyses.

Visit our culture deck and our Research page to learn about what it’s like to work on Analytics at Netflix.
In this role, you will:
Drive product innovation through robust measurement strategies across experimentation, modeling, and analytics, as well as tooling.
Establish strong partnerships with stakeholders to shape the vision of a space, whether that is by helping determine a product strategy or define new metrics.
Develop experimentation and measurement frameworks to increase the velocity of investments and aid complex decision-making.
Facilitate ownership and accountability by ensuring that the team is producing trustworthy and high-quality outputs that influence the decisions and direction of member experience.
To be successful in this role, you have:
At least four years of experience applying statistical and mathematical concepts to make decisions at scale.
Strong statistical skills and intuition and applied experience solving problems in consumer-facing product areas.
Expertise in SQL and statistical programming (Python and/or R).
Passion for driving product vision and innovation strategy by leveraging a broad set of techniques and building strong partnership with stakeholders.
Strong product sense to balance between addressing stakeholder or test-specific needs and investing in scalable solutions to serve general use cases.
Exceptional communication with technical and non-technical audiences
Comfort with ambiguity; ability to thrive with minimal oversight and process.
At Netflix, we carefully consider a wide range of compensation factors to determine your personal top of market. We rely on market indicators to determine compensation and consider your specific job family, background, skills, and experience to get it right. These considerations can cause your compensation to vary and will also be dependent on your location. The overall market range for this role is typically $150,000 - $750,000. This market range is based on total compensation (vs. only base salary), which is in line with our compensation philosophy. Netflix is a unique culture and environment. Learn more here.

We are an equal opportunity employer and celebrate diversity, recognizing that diversity of thought and background builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service."
Data Scientist Specialist/Bioinformatics Specialist,3M,"Maplewood, MN",NaN,PostedPosted 30+ days ago •Many applications in progress,NaN,"Interface with data scientists from across the company to leverage and develop new state of the art machine learning tools, data analysis capabilities, and…",https://www.indeed.com/rc/clk?jk=b828ccfd3e115798&bb=y4a0aUOlS60i4SoCbJQOU8kTKinqxw9XUFDu41562MKlF9mf9afLIyOqTwI_qDVr&xkcb=SoCN67M3HhRtILw3tZ0LbzkdCdPP&fccid=595d42593839d3a2&vjs=3,"Job Description:
Data Scientist Specialist/Bioinformatics Specialist, 3M Company, St. Paul, Minnesota: Develop advanced data analysis toolkits to explore and enable the invention of new products related to the identification, testing, and validation of biological information in Wound Healing and Biopharma Purification. Lead technical research related to infection prevention, microbial detection and control, and/or separation and purification sciences and new technology introduction efforts to apply bioinformatics to microbial detection and control for products. Interface with data scientists from across the company to leverage and develop new state of the art machine learning tools, data analysis capabilities, and informatic systems.Doctorate in Bioinformatics or Biological Sciences required. Must have two years of work or research experience with: (i) conducting and applying bioinformatics research and data analysis applicable to microbial detection and control for products in wound healing and biopharma purification; and (ii) applying computer science principles in the bioinformatics field. Experience may be gained concurrently. Position may be eligible for telecommuting from any location in the United States. Apply online: 3m.com/3m/en_US/careers-us/.
The expected compensation range for this position is $115,607 - $141,298, which includes base pay plus variable incentive pay, if eligible. This range represents a good faith estimate for this position. The specific compensation offered to a candidate may vary based on factors including, but not limited to, the candidate’s relevant knowledge, training, skills, work location, and/or experience. In addition, this position may be eligible for a range of benefits (e.g., Medical, Dental & Vision, Health Savings Accounts, Health Care & Dependent Care Flexible Spending Accounts, Disability Benefits, Life Insurance, Voluntary Benefits, Paid Absences and Retirement Benefits, etc.). Additional information is available at: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/.
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.
Please note: your application may not be considered if you do not provide your education and work history, either by: 1) uploading a resume, or 2) entering the information into the application fields directly.
3M Global Terms of Use and Privacy Statement

Carefully read these Terms of Use before using this website. Your access to and use of this website and application for a job at 3M are conditioned on your acceptance and compliance with these terms."
Jr. Data Scientist,ClimateAI,Remote,NaN,PostedPosted 30+ days ago •Many applications in progress,NaN,"Background in data analysis and machine learning (NNs and decision-tree based regression and classification).
Experience working with large data sets.",https://www.indeed.com/rc/clk?jk=f420fd336c4b892f&bb=y4a0aUOlS61KzvbGJZh5y4cbF9nUUHb_uSYHSykqVSW-KaqLaZoMR2bzwmUaLlPU&xkcb=SoCe67M3HhRtILw3tZ0PbzkdCdPP&fccid=90364bdd6d185b45&vjs=3,"Culture
At ClimateAi we are driven by a united passion to tackle climate change. We believe in a culture of absolute truth and transparency, where feedback is considered an opportunity for us to contribute to each other's personal and professional growth. We recognize the value of diversity and are an equal-opportunity employer.
We hire people who are collaborative, adaptable, communicate well, and love to learn. Expect to give and receive constructive criticism, as we are constantly seeking to push the innovation frontier while simultaneously growing as individuals and as a team.
What you’ll do
Develop and implement advanced methodologies based on state-of-the-art data science techniques and climate variability and change science to prepare custom/tailored deliveries to support customers on key decisions.
Collaborate with our Data Engineering and Software Engineering teams to develop and implement strategies to improve the performance of our models and projections.
Collaborate with our Product and Engineering teams to improve the quality and usability of our products.
Collaborate with our Customer Success teams to deliver high quality and timely reports to our customers.
Generate regular climate deliveries for our customers.
Preferred Qualifications:
Bachelor’s degree in a quantitative field (engineering, applied math, physics)
Proficient in python (experience with pandas, numpy, sci-kit learn, and similar)
Background in data analysis and machine learning (NNs and decision-tree based regression and classification).
Critical thinking skills
Nice-to-have:
Experience with Git, or other version control tools.
Experience working in a cloud environment (i.e. GCP, AWS, etc).
Linux knowledge.
Experience working with large data sets.
What We Offer You

Competitive salary and equity
Medical, dental, vision benefits
Learning budget per year
Unlimited PTO policy with minimum time off requirements
Flexible working hours on many teams
Culture of diversity and inclusion including employee resource groups
Work with smart, curious, passionate people and be part of the mission to help the world"
E-commerce Data Scientist - Health and Wellness - California REMOTE,Stingray Direct,Remote in California,NaN,EmployerActive 3 days ago,"$110,000 - $130,000 a year","Utilize data modeling and machine learning to optimize marketing campaigns, improve customer experience, and increase operational efficiency.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhFJ8ddqZb8WQY2A-LeqcjzbfYC2yoFcx2RKsEMgWd6kv1e5ZMB6N3mTvx-zm1w-0s4qr0qLzd_Xm4E_oUk0kkZ6rFF2M7CShPlpDhd0GJ85U08d1nOQ6rvus8prNLWdgokh1M3avQoStQBYFt0MhHwBsobeGTVDtpIwO9mU3DbuyYH_rsKrWlr2UJRrtECEmmoarLbrv-pGNSURcQl9yuntixLLd-2H0U8mFdEf7q0A1cf7G6MRH3eomiyoeAdo08T0JgsDjfC_lgfjliaQWZp8zei8odcpOeCYTix6iPJ94zggL1NKmqPqA5QvfnCHH8dFiw9jFksfDduf_o1NVZ2ubaEc5OtanrwLrHCtP8ddmMT-mis7S2BshaeGJWxJjTMipB_6IBExQFblcKPHDftLe-0Nzq9KNJQnaHxO0ZGsM1niK8reqXmqRoIQT0oVSRJq8P7WbgkirT3XFg4VCnGWs35pL67fnAtltHryqdKwG0KmMSSdWxpRw89GFvkD_a4Kpqca46fdyZX-M_kvAAd_SVPyZjVlAR-M1phj5kRo0sNZAJ19s8qNwYak5Uv--N46TN1j8wUK9501H1dOLa&xkcb=SoAA6_M3HhRtItw3lR0ObzkdCdPP&p=5&fvj=0&vjs=3,"THE ROLE: E-commerce Data Scientist
Stingray Direct, a dynamic and fast-growing e-commerce company, is seeking a skilled Ecommerce Data Scientist to join our team. We aim to optimize the customer experience and drive business growth by leveraging data and advanced analytics. A successful candidate will have extensive experience in analyzing key ecommerce and subscription metrics, conducting A/B tests, data modeling, and machine learning. Proficiency with Excel, SQL, Python, and Google Analytics is a must.
*
Requirements*
KEY E-COMMERCE DATA SCIENTIST RESPONSIBILITIES:
Design, manage, and interpret comprehensive analyses related to the customer lifecycle, focusing on key subscription and e-commerce metrics.
Conduct A/B testing to optimize customer lifetime value (CLV) and reduce churn rate.
Apply advanced statistical and predictive modeling techniques to build, maintain, and improve upon multiple real-time decision systems.
Utilize data modeling and machine learning to optimize marketing campaigns, improve customer experience, and increase operational efficiency.
Analyze large data sets using advanced Excel, SQL, and Python, identifying trends and informing business strategies.
Utilize Google Analytics to understand website traffic patterns, user behavior, and campaign performance.
Collaborate with cross-functional teams to understand their objectives and deliver data-driven solutions and recommendations.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Present data-driven insights to stakeholders in a clear, understandable, and actionable manner.
Must be located in California
E-COMMERCE DATA SCIENTIST CAPABILITIES + SKILLS REQUIRED
Bachelor’s degree in Mathematics, Statistics, or a related field.
3-5 years of experience in a similar role, preferably within the e-commerce sector.
Proven expertise in analyzing key e-commerce and subscription metrics, such as churn rate, CLV, average order value (AOV), customer acquisition cost (CAC), retention rate, subscription renewal rate, and purchase frequency.
Expert Excel skills
3+ years experience with SQL, with a preference for those experienced in BigQuery.
3+ years of experience using Python and/or R
3+ years of experience with machine learning algorithms and predictive modeling.
Proven experience in analyzing data from Google Analytics.
Knowledge of Big Data frameworks and visualization tools is a plus.
Strong understanding of A/B testing principles and methodologies.
Proven ability to turn complex data into actionable business strategies.
Excellent communication skills with the ability to present complex data in a clear and concise manner.
Self-starter with strong problem-solving abilities and attention to detail.
Prior experience with PowerBI strongly preferred
Benefits
What do you get for being so cool and joining our team?
Competitive Salary $110,000 - $130,000 (based on experience)
Fully remote working position, but must be located in California
Paid time off (PTO)
Paid annual company holidays
Your Birthday is a paid vacation day each year. Take the day to celebrate your awesomeness!
100% Company paid Medical, Dental, and Vision Insurance
100% Company paid Life Insurance and Short-Term Disability Coverage
Paid Maternity / Paternity leave
Employer matching 401K participation
We match your charitable contributions up to $2,500/yr
Work from home (WFH) stipend of $100/month
Free employee product samples and discounts
Fun company social gatherings
Stingray Direct is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
Stingray Direct does not accept unsolicited 3rd party (""Agency"") candidates. If you are an Agency, please send any requests to be considered as a supplier in our Vendor Management System to staffingvendors@stingraydirect.com. Please refrain from contacting Stingray Direct employees directly. Any Agency candidates would be presented through the internal recruiting organization if requested to work on a role.
Job Type: Full-time
Pay: $110,000.00 - $130,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
No nights
Work Location: Remote"
2024 Business Intelligence Analyst & Data Scientist - New College Graduate Opportunity!,Applied Materials,"Austin, TX 78724",NaN,PostedToday,"$76,000 - $104,500 a year","For all sales roles, the posted salary range is the Target Total Cash (TTC) range for the role, which is the sum of base salary and target bonus amount at 100%…",https://www.indeed.com/rc/clk?jk=ea9bc95b2e28cc4d&bb=U5nR3mubq8DxNcoq0H3cEJlf149PqaW3P_6j58MSOy91QKGHu9qAMS4zpmd1rFfB&xkcb=SoAq67M3HhRtIKQ3tZ0JbzkdCdPP&fccid=6c6f37e2a6cb4c55&vjs=3,"Applied Materials is the leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale helps our customers – who make smartphones, supercomputers, virtual reality headsets, autonomous vehicles and more – transform their ideas into reality. Our innovations Make Possible® a Better Future.
Inside our company, we apply the idea of make possible as we work together. We value our people and teams who turn possibilities into reality by advancing our strategy, accomplishing great things and empowering others. We are deeply committed to fostering a Culture of Inclusion where every person knows they belong, feels empowered to bring their whole self to work, and is inspired to grow.
If you’re looking for a great place to grow your career, consider Applied Materials. With the data explosion and new investment in semiconductors, it’s an exciting place to be.
Key Responsibilities
Data analytics to support planning decision
Logic development to automate repeating manual activities
Dashboard and performance reporting development
Move models and feature engineering from development to production
Build data tests & quality in our products\models
Maintain & Develop the team data tools set for documentation and version control – Confluence, Jira, Bitbucket
Maintain & Develop the team standardized data sources into single ERD
Requirements
Graduating with a Bachelor's orMaster's Degree in Business Analytics, Data Science, Computer Science, Information Systems, or a related field
Student must be in good academic standard at their university, with a preferred GPA of 3.0 or above on a 4.0 scale
Hands-on experience writing complex logic in Python including familiarity with following libraries; pandas / pyspark / numpy.
Ability to integrate sophisticated queries in SQL
Qualifications
Education:
Bachelor's Degree (Required)
Skills
Certifications:
Languages:
Years of Experience:
Up to 1 Year
Work Experience:
Additional Information
Travel:
Yes, 10% of the Time
Relocation Eligible:
Yes
U.S. Salary Range:
$76,000.00 - $104,500.00
The salary offered to a selected candidate will be based on multiple factors including location, hire grade, job-related knowledge, skills, experience, and with consideration of internal equity of our current team members. In addition to a comprehensive benefits package, candidates may be eligible for other forms of compensation such as participation in a bonus and a stock award program, as applicable.
For all sales roles, the posted salary range is the Target Total Cash (TTC) range for the role, which is the sum of base salary and target bonus amount at 100% goal achievement.
Applied Materials is an Equal Opportunity Employer committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, national origin, citizenship, ancestry, religion, creed, sex, sexual orientation, gender identity, age, disability, veteran or military status, or any other basis prohibited by law."
Data Scientist,INTEL,"Phoenix, AZ",NaN,EmployerActive 3 days ago,NaN,"The scope includes creating machine learning and analytic models and APIs to drive analytic discovery, and monitoring applications.",https://www.indeed.com/rc/clk?jk=3790dbe505f24418&bb=U5nR3mubq8B48B1Z7uklAbgcy9MRgxtFedpgR9ZJMljoSmoKXwDR-VRy5jH13HKq&xkcb=SoAQ67M3HhRtIKQ3tZ0PbzkdCdPP&fccid=936367796261bd6e&vjs=3,"Job Description

Manufacturing, Supply Chain and Operations Automation is seeking a Data Scientist to develop advanced analytic capabilities to support Intel's semiconductor manufacturing. The scope includes creating machine learning and analytic models and APIs to drive analytic discovery, and monitoring applications.
The candidate will create predictive models to track factory performance (cycle time, throughput, product outcomes and yields) by analyzing historical data from such sources as parametric, image and equipment or factory signals data. The candidate will be expected to apply analytic and software solutions in a fast-paced and complex business environment and be able to communicate complex technical analysis to both senior technical and also non-technical staff.
The ideal candidate should exhibit the following behavioral traits:
Problem solving skills
Analytical skills
Skills to work in a dynamic, results, and team oriented environment
Communication skills
Skills to influence, strategic thinking, and leadership skills
Skills to understand and streamline business strategies, stakeholder, and supplier management

Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum qualifications and are considered a plus factor in identifying top candidates.
Candidate must possess the degree by employment start date. Requirements listed would be obtained through a combination of industry relevant job experience, internship experiences and or schoolwork/classes/research.
Minimum Qualifications:
Master's degree in Electrical Engineering, Computer Science, Statistics, Mathematics, Physics, or equivalent quantitative field with a focus on Data Analytics and Machine learning.
Demonstrated understanding in 1 or more of the following skills:
Analytic programming languages such as Python, R or SAS.
Data mining and statistics as it relates to data analysis.
Data munging, and reporting/visualization skills.
Preferred Qualifications:
Demonstrated understanding in any of the following skills:
Relational databases (SQL) and no-SQL databases.
High-Dimension data analysis, factorization techniques and MDS.
Machine learning models including probability and statistical models in addition to time series analysis.
Applying modern ML techniques such as support vector machines, categorical and regression trees, neural networks and recommendation systems.

Inside this Business Group

As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art - from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth.
Other Locations

US, NM, Albuquerque; US, AZ, Phoenix
Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.
Benefits

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here.
Working Model

This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site. In certain circumstances the work model may change to accommodate business needs.

JobType
Hybrid"
Spatial Data Scientist - R&D,Satelytics,"Perrysburg, OH",NaN,PostedPosted 9 days ago,NaN,Solutions Oil & Gas Pipeline Power Utilities Water & Wastewater Mining Forestry Specialty Chemicals Why Satelytics? Resources Articles Detailed Information…,https://www.indeed.com/rc/clk?jk=fd447e4c401c0841&bb=nJQKqRmrVZPqf5qUXXFtZT119v7Vez3NRB6yACQSFqoZTWXaD9Zpp_OVGuwD2Rku&xkcb=SoBv67M3HhRtIKw3tZ0JbzkdCdPP&fccid=6c92c0a422f1d5e7&vjs=3,"Solutions
Oil & Gas Pipeline Power Utilities Water & Wastewater Mining Forestry Specialty Chemicals
Why Satelytics?
Resources
Articles Detailed Information Archives
Partners
ACRT Services AIMS Apichet Technology iSpatialTec Southern Cross TECNA Group
About
Our Mission Our Story Our Values Management Board Careers
Login
Demonstrations"
Data Scientist,Helix tech IT Solutions,Remote,NaN,PostedPosted 3 days ago,"$80,828.57 - $176,901.55 a year","Present information using data visualization techniques.
We also want to see a passion for machine-learning and research.
Analytical mind and business acumen.",https://www.indeed.com/rc/clk?jk=280a8ca9bc4d6d17&bb=nJQKqRmrVZPjDEmafdUGGI06_pG1u1VsHRNDrzcGS6T8B3VVs8pW4YYjQqAXltT6&xkcb=SoBV67M3HhRtIKw3tZ0PbzkdCdPP&fccid=154b86cb0c7061e0&cmp=Helix-Tech-IT-Solutions&ti=Data+Scientist&vjs=3,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements and skills
Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Job Type: Full-time
Salary: $80,828.57 - $176,901.55 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
Monday to Friday
Supplemental pay types:
Tips
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Work Location: Remote"
