Title,Company,Location,Date,Salary,Descriptions,Python,C++,Scala,Pandas,NumPy,Scikit-Learn,NLTK,TensorFlow,PyTorch,Keras,Machine Learning,Deep Learning,NLP,Computer Vision,Hadoop,Spark,SAS,SPSS,Docker,Kubernetes,K8S,Cloud Computing,Model Deployment,SQL,Data Warehousing,ETL Processes,Git,Linux,API Development,Tableau,Statistical Analysis,Data Mining,Data Visualization,Time Series Analysis,Business Analytics,Project Management,Agile Methodologies,A/B Testing,Data Driven,Consulting,Customer Relationship Management,Leadership,Collaboration,Teamwork,Communication,Presentation,Problem Solving,Critical Thinking,Adaptability
Data Scientist – NLP,Solytics Partners LLC,"Hybrid remote in New York, NY 10001",PostedJust posted,"$90,000 - $120,000 a year",solytics partner provide product service bfsi healthcare firm use ai ml cutting edge technology develop next generation solution provide efficient service strong team phd ai ml expert bfsi healthcare industry regulatory compliant solution service enable leading corporation institution create sustain competitive advantage location u newyork hybrid experience year education qualification bachelor master computer science engineering related discipline required data science certification would plus job description looking data scientist strong nlp ml dl expertise role lead arange data analytics effort monitor improve performance machine learning natural language understanding nlu dl model responsibility depth data analysis extract data manipulate calculate format combine presentable report chart graph analyze interpret data find outlier understand root cause business impact correlation discrepancy propose change alternate solution discover pattern root cause generate insight drive product enhancement bring together disparate data source create complete analysis analyze evaluate quality data used model training testing create present proposal result intuitive data backed manner along actionable insight recommendation drive business decision collaborate data scientist engineer data collection feature design effort across team communicate result diverse audience effective writing data visualization bi report dashboard desired skill experience common data science toolkits r weka numpy matlab etc excellence least one highly desirable excellent understanding machine learning technique algorithm k nn naive bayes svm decision forest etc proficiency using query language sql hive pig experience anyone nosql database mongodb cassandra hbase good applied statistic skill distribution statistical testing regression etc good scripting programming skill expert level skill package like nltk spacy genism pattern textblob vocabulary stanford corenlp python wrapper text extractiontools like pdfminer apache tika python pypdf etc panda sklearn numpy xgboost matplotlib kera etc expertise command line usage e g bash sql robust knowledge statistical modelling machine learning technique experience analyzing quantifying data collected crowd sourcing protocol strong experience descriptive statistic visualization tool job type full time pay per year benefit health insurance paid time schedule monday friday experience total work year required work location hybrid remote new york ny,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staff Data Scientist, Core AI",Indeed,Remote,EmployerActive 2 days ago,"$164,000 - $238,000 a year",mission world number job site mission help people get job strive cultivate inclusive accessible workplace people feel comfortable looking grow team people share enthusiasm innovation creating best experience job seeker comscore total visit september day day indeed world largest marketplace job unique dataset job resume application outcome core ai team research development group collaborates partner across company address big picture problem strategic initiative aim deliver transformative long term value staff data scientist core ai creatively identify useful training datasets design model training pipeline experiment evaluate different modeling approach keep abreast development deep learning particularly related nlp may present research internally externally responsibility develop language model prototype production implement best practice evaluation monitoring mlops guidance principal data scientist consider system architecture alternative balance expedience reliability cost collaborate cross functionally team across company model inference product application mentor software engineer data scientist team guide colleague around company use development language model balance technical product thinking show ownership team objective indeed mission help people get job skill competency bachelor degree quantitative field including computer science math physical science social science related field year industry experience software engineer data scientist machine learning engineer prior success creating deploying maintaining deep learning solution large scale production system including large scale gpu computing experience training fine tuning evaluating language model dedicated sense ownership accountability key contributor technical product domain knowledge hand experience working deep learning library like torch tensorflow huggingface etc salary range transparency u remote usd per year austin usd per year nyc metro area usd per year seattle usd per year sf bay area usd per year salary range disclaimer base salary range represents low high end indeed salary range position given work location actual salary vary depending factor including limited location experience performance range listed one component indeed total compensation package employee reward may include quarterly bonus restricted stock unit rsus paid time policy many region specific benefit benefit health work life harmony wellbeing care care multitude benefit support indeedians well pet kid partner select country learn employee benefit program perk http benefit indeed job equal opportunity employer indeed deeply committed building workplace global community inclusion valued prioritized proud equal opportunity employer seeking create welcoming diverse environment qualified applicant receive consideration employment without regard race color religion gender gender identity expression family status marital status sexual orientation national origin genetics neuro diversity disability age veteran status non merit based legally protected ground indeed committed providing reasonable accommodation qualified individual disability employment application process request accommodation please contact talent attraction accommodation email accommodation indeed com requesting accommodation interview please reach least one week advance interview fair chance hiring value diverse experience including prior contact criminal legal system committed providing individual criminal record including formerly incarcerated individual fair chance employment indeed employee recruiting privacy policy like employer indeed us technology help u find attract top talent around world addition site user privacy policy found http www indeed com legal also want make aware recruitment specific privacy policy found http www indeed com legal indeed job reference id job type full time pay per year benefit k k matching dental insurance employee assistance program flexible spending account health insurance health saving account life insurance paid time parental leave tuition reimbursement vision insurance compensation package quarterly bonus rsu yearly pay experience level year schedule monday friday people criminal record encouraged apply application question current former indeedian education bachelor required experience python year preferred data science year required machine learning year required work location remote,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst / Data Scientist,DATSURA,"Washington, DC 20549 (NoMa area)",EmployerActive 2 days ago,"$130,000 - $150,000 a year",small technology consulting firm assisting federal financial agency corporate client data analytics modeling application development financial domain looking data analyst data scientist vital link information technology capacity business objective supporting ensuring successful completion analytical building testing deployment task software product feature responsibility define configuration specification business analysis requirement perform quality assurance define reporting alerting requirement develop relationship partner working optimize enhance integration help design document maintain system process report common source technical issue question make recommendation product team communicate key insight finding product team constantly lookout way improve monitoring discover issue deliver better value customer requirement u citizenship ability acquire public trust clearance candidate minimum year working experience intersection finance technology ability code python familiarity package like panda numpy plotly dash etc aws quicksight experience degree math finance solid experience writing sql query sa r aws development experience viewed favorably exposure risk management nice experience analyzing data draw business relevant conclusion data visualization technique tool candidate financial background exposure one asset class including mortgage derivative equity bond etc strong written verbal communication skill including technical writing skill job type full time pay per year benefit k health insurance retirement plan schedule hour shift monday friday ability commute relocate washington dc reliably commute planning relocate starting work preferred experience python year required aws quicksight year required work year preferred work location person,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Sr Data Scientist,Public Storage,"Glendale, CA",PostedPosted 2 days ago,"$140,000 - $180,000 a year",company description public storage recognized one america best large employer forbes employee also voted u great place work best career growth ranked u top work culture top diversity inclusion location nationwide public storage leader self storage industry given number tenant may well world largest landlord experienced unprecedented growth past four decade small part due dedicated team helped u become p industry leader country largest real estate investment trust reit recognizable name self storage job description currently looking senior data scientist join data analytics practice glendale ca senior data scientist demonstrated technical skill lead design deployment data science solution balance sota team productivity model reproducibility well support experimentation scale positive focused yet relentless goal continuous improvement role lead people process tool choice support effort build deploy model explain real world using must combination intuition math programming python r sql mandatory continuously learning advocate teacher talent breaking complex system solvable component executing vision part role mentor data scientist analyst love working team mix issue come light depth technical code review hackathons whiteboarding break problem multiple angle responsibility exceptional verbal written skill convey idea problem solution able establish trust confidence data science team lead across organization needed responsible designing team process applying design pattern apply statistical model rigor balance design choice calculated trade offs revisit proactively sme algorithm design code refactored easily data engineer build repo maintains library model applied refactored similar design pattern expert unstructured structured data set ingestion classification regression deep learning etc mentor train team new technique push boundary existing technology deliver enterprise value owns confluence knowledge repository github model repo refresh troubleshoot update model needed thought leader converge available data transfer learning project test new algorithm optimize across large ambiguous data set coordinate design architecture data engineering resource compensation base pay range compensation may vary outside range depending number factor including candidate qualification skill competency experience location base pay one part total award approach compensation provided compensate recognize employee work role may eligible additional discretionary bonus incentive qualification bachelor master stem field physic social economics business strong technical acumen required master comp science year experience phd stem degree preferred alternative education year experience contributor leader knowledge skill ability strong verbal communication skill ability effectively communicate cross functionally experience d team lead department head data science strong command applied math linear matrix function deep learning theory practice frequentist bayesian welcome proficiency programming scripting language python r sql c experience analytic framework open source library passionate thinking problem solving realistic view ai understanding use deep learning real world situation exceptional programming skill python sql c production environment required reitjobs additional information information kept confidential according eeo guideline apc,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Climate Data Scientist,Leidos,Remote,PostedJust posted,"$78,000 - $141,000 a year",description unleash potential leidos deliver innovative solution effort diverse talented people dedicated customer success empower team contribute community operate sustainably everything built commitment right thing customer people community mission vision value guide way business sound like environment thrive keep reading mission leidos civil group climate team part climate energy environment division seeking climate data scientist tight knit nimble team demonstrated funding success remote position may performed anywhere u must able pas government background check required obtain access conduct work u government installation leidos civil group help modernize infrastructure system security trusted partner government highly regulated commercial customer looking transformative solution mission security software engineering operation work customer including faa doe nasa national science foundation transportation security administration custom border protection airport electric utility make world safer healthier efficient customer take toughest challenge time need helping hand specialist field combine scale fortune company deep technical knowledge core capability expertise talented diverse workforce deliver mission centric innovation core capability developed proven repeatable process help u deliver agile cost effective solution foster better world explore learn click main objective work involves building applied scientific tool number federal agency covering full project lifecycle proposal prototyping customer feedback revision delivery quality controlled finished software incumbent work multiple project across federal contract agency including nasa noaa usgs usace ready join team dedicated mission join team discover culture collaboration innovation diversity trust caring management communication transparency work life balance overall job satisfaction share resume u today set apart msc technical field involving earth observation year relevant experience proficiency python remotely sensed geospatial data satellite airborne geospatial tool gdal geopandas rasterio xarray spatial data projection interpolation gi arcgis pro similar database sql version control git numerical optimization solving linear system machine learning neural network random forest using cloud resource aws parallel high performance computing established record technical writing proposal report user manual might also ph technical field involving earth observation deep experience instead proficiency tool industry academic experience publication high impact journal cryospheric science field work experience remote sensing validation using situ measurement experience matlab high level language efficient spatial storage hdf netcdf multi sensor fusion energy balance modeling variety sensor hyperspectral multispectral microwave thermal mobility application optimal route finding strategy agile software development pay range pay range leidos pay range job level general guideline guarantee compensation salary additional factor considered extending offer include limited responsibility job education experience knowledge skill ability well internal equity alignment market data applicable bargaining agreement law remote,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"VISS/AXIS Ai Developer - (Ai modeling, data engineering, X-ray imaging) - Kentucky (BOSK)",SK Battery America,"Glendale, KY 42740",EmployerActive 3 days ago,NaN,come join u build future sk battery america role responsibility vi system development implementation spearhead development testing deployment ai data solution tailored vision image storage system system aim long term storage structured retrieval vision image produced process axis system development implementation pioneer development testing deployment ai data centric solution tailored ai x ray inspection system focusing primarily quality determination using x ray examination image analysis processing utilize ai driven told analyze process vision image enhancing clarity relevance data management retrieval design manage database structure specific vi axis ensuring efficient storage quick retrieval system wide compatibility image data using language tool python sql relevant image processing library user experience interface development forge intuitive ai interactive interface empower user easily store categorize retrieve vision image troubleshooting support proactively address vi image related software challenge instigate system enhancement ensure sustained high performance continuous learning training remain conversant contemporary trend ai data engineering vision image storage technology provide training steadfast support house team skill qualification bachelor degree computer engineering similar field year direct experience ai modeling data engineering image processing especially context related x ray imaging related field mastery programming predominantly python sql tool relevant image processing analysis deep understanding image processing library algorithm focus x ray image interpretation stellar teamwork collaboration communication skill solution oriented innovative mindset tailored x ray image analysis job type full time work location person,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Sr Statistician,The Joint Commission,"Hybrid remote in Oakbrook Terrace, IL 60181",PostedPosted 30+ days ago,NaN,overview hybrid position require working central office located oakbrook terrace il typically requiring day per month needed collaborates various department provide expertise statistical analysis data modeling specifically focused healthcare quality safety data support research project team identify define key performance indicator design statistical model perform advanced analysis uncover trend pattern healthcare data responsibility also include validating model developing data collection strategy providing expert guidance interpreting communicating statistical finding stakeholder guide review statistical method deliverable data analyst data scientist within research quality measurement department us data visualization program tool technique generate dashboard report presentation aid data storytelling understanding interpretation trend pattern business importance responsibility design perform advanced statistical analysis regression model time series analysis survival analysis data clustering identify trend pattern correlation healthcare data support internal research project team provide statistical analysis plan needed research proposal manuscript development peer reviewed research publication design develop statistical model methodology analyzing healthcare organization data support quality measure development quality measure pilot testing analysis quality measure data support accreditation certification operation includes outlier analysis development novel method identify performance pattern among healthcare organization development maintenance risk adjustment model process healthcare organization outcome performance measure evaluate validate statistical model analytical method ensure reliability robustness result needed support national measure endorsement endorsement provide expert guidance support stakeholder interpreting communicating statistical finding including presentation result executive leadership external stakeholder collaborate data scientist professional develop data management system tool efficient data collection storage retrieval mentor provide guidance data scientist analyst fostering professional growth development stay updated latest advancement statistical methodology healthcare regulation quality improvement initiative integrate organization practice process regularly communicate project leader collaboration project team maintain project work plan maintain documentation statistical support contribute organization upkeep project file qualification level knowledge equivalent ordinarily acquired completion doctoral degree statistic biostatistics epidemiology related field year experience working statistician data scientist healthcare industry focus quality improvement patient safety healthcare outcome strong expertise statistical analysis technique methodology including regression model time series analysis survival analysis data clustering advanced technical statistical experience phase relational database development quality assurance e g requirement analysis design testing implementation documentation maintenance proficiency statistical software r python data manipulation modeling visualization experience relational database reporting query tool software package joint commission utilizes e g m azure m excel m access power bi etc display willingness keep current database technology programming language best practice solid understanding healthcare quality safety measure regulation reporting requirement established regulatory agency accreditation body preferred publication record peer reviewed journal experience presenting conference industry event desirable effective written oral communication skill especially communicating business technical information excellent analytical problem solving skill ability translate complex data actionable insight recommendation ability provide data table graphic significantly enhance interpretation analysis result strong interpersonal skill including ability professionally interact external stakeholder project partner especially communicating technical statistical information specification proven ability work collaboratively interdisciplinary team manage multiple project competing priority strong communication skill written verbal effectively present statistical finding technical non technical audience flexibility accommodate shifting priority accommodate ad hoc analysis highly independent requiring minimal supervision attention detail commitment maintaining highest standard data accuracy integrity demonstrates result orientation determination ownership responsibility reliability accountability experience mentoring training junior staff including data scientist analyst job description intended describe general nature level work performed employee assigned position description exhaustive list duty responsibility knowledge skill ability working condition associated position requirement subject possible modification reasonably accommodate individual disability li remote indhp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
Data Scientist I,Battelle,"Egg Harbor Township, NJ",PostedPosted 1 day ago,NaN,battelle guided founding mission invest knowledge talent resource helping customer achieve important goal apply scientific rigor creativity succeeding others may fail invest community making world better generation come u share common purpose solve greatest challenge today tomorrow employee work forefront scientific innovation tackle critical challenge security human health manufacturing energy environmental management battelle work grounded belief science technology passion excellence make industry competitive world better place currently seeking data scientist position located egg harbor township nj job summary battelle aviation security division provides research development test evaluation service department homeland security dhs transportation security laboratory tsl qualified candidate position support tsl applied research development ard developmental test evaluation dt e project internal research development irad project data science application machine learning artificial intelligence well software related technical service responsibility research development tool technique used data science application machine learning algorithm test evaluation design build modification implementation software application apply data science algorithmic machine learning method develop machine learning technique perform data analysis perform data preparation labelling training evaluation machine learning algorithm develop software tool automate workflow task data preparation labelling follow user requirement documentation code modify debug program assigned project functional area apply standard practice analyze program formulate logic prepare flowcharting perform coding test debug program prepare obtain approval system programming documentation review system requirement process support system testing needed key qualification successful completion study accredited college university leading bachelor degree software engineering computer science data science math physic related analytical field accredited college university experience solving problem computer vision related object detection anomaly detection etc software development experience using language c matlab python strong oral written communication skill highly motivated self starter strong desire learn sole u citizenship eligibility willingness obtain maintain dod secret security clearance obtain tsa dhs suitability preferred qualification background python data science stack numpy scikit learn etc deep learning framework pytorch tensorflow etc familiarity deep learning explainability interpretability method familiarity data synthesis using deep learning method image analysis using imagej opencv experience following docker git experience user interface design implementation prior laboratory testing experience prior experience working tsa dhs dod secret security clearance benefit live extraordinary life care well job battelle offer comprehensive competitive benefit help live best life balance life compressed work schedule team follows flexible compressed work schedule allows every friday giving dedicated day accomplish thing personal life without using vacation time take time recharge get paid time support work life balance keep motivated prioritize wellness stay healthy medical dental vision coverage wellness incentive benefit plus variety optional supplemental benefit better together coverage partner gender affirming care health support family formation support build financial future build financial stability industry leading k retirement saving plan employee put percent whether contribute match contribution top advance education tuition assistance available pursue higher education flexible work arrangement option work work work environment succeed brilliant mind science technology engineering business operation battelle place greatest good solving humanity pressing challenge creating safer healthier secure world opportunity thrive culture inspires apply talent challenging meaningful project receive select funding pursue idea scientific technological discovery collaborate world class expert inclusive environment nurture develop next generation scientific leader give back improve community vaccination safety protocol battelle may require employee based job duty work location client requirement follow certain safety protocol vaccinated variety virus bacteria disease condition employment continued employment provide documentation fully vaccinated applicable battelle provide reasonable accommodation based qualified disability medical condition american disability act rehabilitation act sincerely held religious belief title vii civil right act related state law battelle equal opportunity employer provide employment opportunity advancement compensation training growth according individual merit without regard race color religion sex including pregnancy national origin sexual orientation gender identity expression marital status age genetic information disability veteran status veteran military status characteristic protected applicable federal state local law goal staff member opportunity grow limit ability achieve personal organizational objective support positive program equal treatment staff full utilization qualified employee level within battelle statement intended describe nature level work performed people assigned job intended exhaustive list responsibility activity skill required staff member statement herein intended imply authority commit battelle unless special written permission granted battelle legal department information opening please visit www battelle org career,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Scientist (L5) - Ad-Member Interactions,Netflix,"Los Gatos, CA",PostedPosted 7 days ago,NaN,los gatos california data science engineering netflix one world leading entertainment service million paid membership country enjoying tv series film game across wide variety genre language member play pause resume watching much want anytime anywhere change plan time nov launched new lower priced ad supported tier customer continuing build goal providing choice consumer premium better linear tv brand experience advertiser building offering critical ensure maximizing comprehensive member experience product connection team aim precisely part product data science engineering org product connection partner diverse stakeholder across business solve enduring problem intersection domain optimize emerging business area interact core product seeking senior data scientist strong causal inference experimentation historical ad experience improve understanding elevate evolve ad offering member role drive foundational understanding member interact ad service build capability optimize ad experience support experimentation bring experience life question might answer include show relevant ad member identify measure resolve ad giving member bad experience many ad showing member working highly collaborative cross functional environment responsible identifying high value investment area driving project inception completion role partner closely technical business facing stakeholder strong communication eye determining matter essential success role evolve ad experience shape member experience netflix develop framework help u decide trade offs critical decision optimize member experience establish strong partnership stakeholder shape intersection ad core product leveraging method experimentation metric development facilitate ownership accountability ensuring team produce trustworthy high quality output influence decision direction ad netflix flexible changing circumstance netflix ad offering evolving rapidly role help shape evolution successful role advanced degree statistic mathematics computer science economics related quantitative field year relevant experience focused building delivering real world machine learning model demonstrated impact strong statistical knowledge intuition ideally utilized experimentation product analytics setting strong quantitative programming skill language python exceptional oral written communication skill track record trusted partner stakeholder diverse background role successfully operated company collaboration integration team across multiple discipline essential team success demonstrated ability communicate drive product change across various stakeholder particularly complex ambiguous problem space ability work independently drive project embodies netflix value bringing new perspective continue improve culture netflix carefully consider wide range compensation factor determine personal top market rely market indicator determine compensation consider specific job skill experience get right consideration cause compensation vary also dependent location overall market range role area netflix typically market range based total compensation v base salary line compensation philosophy netflix unique culture environment learn,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Spatial Data Scientist - R&D,Satelytics,"Perrysburg, OH",PostedPosted 9 days ago,NaN,solution oil gas pipeline power utility water wastewater mining forestry specialty chemical satelytics resource article detailed information archive partner acrt service aim apichet technology ispatialtec southern cross tecna group mission story value management board career login demonstration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
